mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
6.804612191027198e-05,0.005217991018289563,0.10025625,0.8999999999999978,40.1025,40.1025,0.10098002126445203,0.002300710948224834,6.518006244143026e-05,0.005335035094804109,0.1351375,0.8999999999999979,54.055,54.055,0.6156622128433316,0.011694972355511894,7.627503118180148e-05,0.006094394567271354,0.13538125,0.8999999999999995,54.1525,54.1525,0.13593427099076297,0.0021730362338005815
7.451538372395394e-05,0.005715407131509704,0.0999375,0.8999999999999997,39.975,39.975,0.0999754056179487,0.002299782118613116,8.105875631730597e-05,0.005648251928478343,0.1451875,0.9000000000000064,58.075,58.075,0.5379125480057733,0.007917060238536038,7.684419971686704e-05,0.005678121187781315,0.14375,0.8999999999999997,57.5,57.5,0.14392030584502638,0.0021512323522373767
7.653732654258761e-05,0.005926762099576886,0.09883125,0.8999999999999997,39.5325,39.5325,0.09911332634174201,0.002307322955630282,7.865469506110032e-05,0.00582743673094856,0.1604125,0.9000000000000008,64.165,64.165,0.5043033007282699,0.005099998740570019,0.00010067525720008397,0.0071730596129406295,0.16031875,0.9,64.1275,64.1275,0.16119314051771863,0.0021088367904686335
6.860382391505015e-05,0.0055137935003473455,0.09920625,0.8999999999999994,39.6825,39.6825,0.09901882443279351,0.0023050559816626998,4.041555853160693e-05,0.004153699375267419,0.1505875,0.899999999999998,60.235,60.235,0.5105378020058944,0.007922192415712657,8.209782423927163e-05,0.005955641385085947,0.1505875,0.9000000000000008,60.235,60.235,0.15035977588518998,0.002133458646616541
9.240259576579161e-05,0.006425993736522896,0.1000875,0.9000000000000007,40.035,40.035,0.09987034136903734,0.0023009785770960064,6.533315155416685e-05,0.0053489433347237774,0.1329875,0.8999999999999965,53.195,53.195,0.46658493384552235,0.015933804360146596,7.83723316297192e-05,0.005886350642494887,0.1329125,0.8999999999999995,53.165,53.165,0.13336339653560603,0.002179789927079004
5.820797800004306e-05,0.0052314466833174025,0.099925,0.9000000000000009,39.97,39.97,0.10003464405673088,0.0023035289228095367,8.610782615375572e-05,0.006278636532381087,0.1238875,0.8999999999999959,49.555,49.555,0.47703095397681206,0.020678486417047646,9.336635864320681e-05,0.006419335284623774,0.12283125,0.9000000000000002,49.1325,49.1325,0.12280716396673075,0.0022079067014269343
7.693973886134859e-05,0.006118958115610718,0.0988,0.8999999999999992,39.52,39.52,0.09895728753485848,0.0023072442412564076,6.858042106736237e-05,0.005700341249069328,0.1262,0.8999999999999986,50.48,50.48,0.48787885652702734,0.018258901021397714,7.394282004780538e-05,0.005874577442817822,0.12820625,0.8999999999999999,51.2825,51.2825,0.12890633253447176,0.0021926518557700784
5.9894814456968135e-05,0.005083170124661016,0.09981875,0.900000000000001,39.9275,39.9275,0.10060411741156045,0.0023027417790707928,7.742395498664286e-05,0.005360784910503026,0.1399625,0.9000000000000036,55.985,55.985,0.493263865922902,0.010200280852885983,0.0001043202653586712,0.006972359705917647,0.1388125,0.8999999999999999,55.525,55.525,0.1395247532021699,0.002163732194808629
6.18954227817804e-05,0.005114585704777979,0.0993125,0.8999999999999984,39.725,39.725,0.10033893676952553,0.0023032455510635886,3.2566192636211974e-05,0.0036885964365607525,0.1655125,0.8999999999999967,66.205,66.205,0.5404307071067661,0.004197270815229028,8.772232272076385e-05,0.006476340266304471,0.16279375,0.8999999999999981,65.1175,65.1175,0.16332342983134882,0.0021025396405586825
6.559601328889372e-05,0.005051451371233446,0.10088125,0.8999999999999997,40.3525,40.3525,0.1012805847281736,0.0022951222276797524,5.6228679839813674e-05,0.005062576577847778,0.1662125,0.9000000000000006,66.485,66.485,0.531501096810266,0.004136881147592601,0.0001028249654861914,0.006949891985087153,0.165675,0.900000000000001,66.27,66.27,0.16611521074694674,0.0020952979181622393
